User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class,Temperature (°C),Mobile Heating Label
22,OnePlus 9,Android,576,11.6,2803,82,1553,43,Female,5,65.603,Yes
23,Samsung Galaxy S21,Android,423,6.5,2094,65,1372,23,Female,4,52.144,Yes
24,Google Pixel 5,Android,292,5.6,1401,46,949,37,Female,3,47.46766667,Yes
25,OnePlus 9,Android,216,4,1711,59,748,58,Male,3,43.311,Yes
26,Samsung Galaxy S21,Android,91,3.4,1073,38,451,52,Male,2,39.38966667,No
27,iPhone 12,iOS,444,7.6,2372,77,1002,29,Male,4,54.972,Yes
28,Google Pixel 5,Android,512,10.5,2409,89,1599,33,Male,5,61.94233333,Yes
29,OnePlus 9,Android,452,6.8,2387,77,1456,55,Female,4,53.52033333,Yes
30,Samsung Galaxy S21,Android,412,6.2,1899,78,1384,19,Female,4,51.16566667,Yes
31,Xiaomi Mi 11,Android,260,6,1361,44,889,37,Female,3,47.69433333,Yes
32,Xiaomi Mi 11,Android,197,4.6,1660,59,975,25,Male,3,44.14333333,Yes
33,Google Pixel 5,Android,278,4.7,1484,55,917,21,Male,3,45.51733333,Yes
34,Google Pixel 5,Android,46,2,457,14,105,58,Male,1,35.22366667,No
35,Xiaomi Mi 11,Android,593,10.2,2499,81,1616,38,Female,5,62.78233333,Yes
36,Samsung Galaxy S21,Android,32,1.2,580,19,153,20,Female,1,33.51333333,No
37,iPhone 12,iOS,122,3.3,755,30,573,26,Male,2,39.38833333,No
38,Samsung Galaxy S21,Android,522,11.2,2808,93,2328,24,Male,5,63.908,Yes
39,OnePlus 9,Android,473,6.4,2312,74,1400,40,Male,4,52.99533333,Yes
40,Samsung Galaxy S21,Android,398,6.2,1851,77,1180,23,Male,4,50.88433333,Yes
41,Xiaomi Mi 11,Android,240,4.7,1464,52,708,56,Female,3,44.864,Yes
42,OnePlus 9,Android,576,10.1,2447,83,2323,33,Male,5,62.247,Yes
43,Samsung Galaxy S21,Android,120,2.1,720,39,392,43,Male,2,36.92,No
44,Samsung Galaxy S21,Android,152,3.7,993,32,429,18,Male,2,40.92633333,Yes
45,Xiaomi Mi 11,Android,138,2.4,837,21,572,56,Female,2,37.937,No
46,Xiaomi Mi 11,Android,502,10.9,2476,96,1935,39,Male,5,62.64266667,Yes
47,OnePlus 9,Android,558,8.4,2447,97,1594,22,Female,5,58.547,Yes
48,Samsung Galaxy S21,Android,138,3.6,889,25,323,27,Female,2,40.389,Yes
49,Google Pixel 5,Android,580,8.2,2623,90,2262,49,Male,5,58.68966667,Yes
50,OnePlus 9,Android,589,8.7,2736,82,1997,49,Male,5,59.95266667,Yes
51,Xiaomi Mi 11,Android,452,7.4,2180,61,1417,54,Female,4,54.51333333,Yes
52,Xiaomi Mi 11,Android,245,5.9,1243,52,885,29,Male,3,47.12633333,Yes
53,Samsung Galaxy S21,Android,125,2.7,690,28,393,27,Female,2,38.17333333,No
54,Xiaomi Mi 11,Android,97,2.2,1101,38,375,53,Male,2,37.11766667,No
55,Google Pixel 5,Android,516,8.7,2857,83,2189,53,Female,5,58.857,Yes
56,iPhone 12,iOS,68,1.6,450,14,111,30,Male,1,34.78333333,No
57,OnePlus 9,Android,64,1.1,572,10,161,42,Female,1,33.83866667,No
58,OnePlus 9,Android,539,8.4,2796,89,2415,26,Male,5,58.57933333,Yes
59,Xiaomi Mi 11,Android,428,7,2306,75,1144,22,Male,4,53.43933333,Yes
60,iPhone 12,iOS,325,7.1,2269,64,1053,56,Male,4,51.88566667,Yes
61,Xiaomi Mi 11,Android,522,11.9,2798,85,1663,28,Female,5,65.298,Yes
62,Xiaomi Mi 11,Android,309,7.5,2292,77,1253,57,Female,4,52.442,Yes
63,Xiaomi Mi 11,Android,79,1.9,493,14,128,55,Male,1,35.60966667,No
64,Xiaomi Mi 11,Android,545,11.5,2911,87,1717,21,Female,5,64.99433333,Yes
65,Samsung Galaxy S21,Android,459,7,1982,67,1091,43,Male,4,53.632,Yes
66,iPhone 12,iOS,225,4,1420,48,917,56,Male,3,43.17,Yes
67,iPhone 12,iOS,257,4.5,1705,57,912,55,Male,3,44.98833333,Yes
68,Xiaomi Mi 11,Android,134,4,773,35,449,28,Female,2,41.00633333,Yes
69,iPhone 12,iOS,516,10.2,2932,98,1547,31,Male,5,61.932,Yes
70,Google Pixel 5,Android,82,1.7,558,16,284,29,Female,1,35.32466667,No
71,Samsung Galaxy S21,Android,452,7.2,1808,64,1090,45,Female,4,53.74133333,Yes
72,iPhone 12,iOS,521,9,2902,97,1701,37,Male,5,59.58533333,Yes
73,Google Pixel 5,Android,457,6.3,2347,66,1082,22,Male,4,52.56366667,Yes
74,Xiaomi Mi 11,Android,31,1.1,585,11,208,50,Female,1,33.30166667,No
75,iPhone 12,iOS,47,2,476,14,125,39,Male,1,35.25933333,No
76,Xiaomi Mi 11,Android,229,5.7,1305,43,985,23,Female,3,46.52166667,Yes
77,Xiaomi Mi 11,Android,34,2,558,14,122,54,Female,1,35.12466667,No
78,Google Pixel 5,Android,173,2.5,678,29,301,30,Female,2,38.56133333,No
79,Samsung Galaxy S21,Android,78,1.8,333,17,138,51,Female,1,35.233,No
80,Google Pixel 5,Android,230,5.7,1254,52,989,34,Female,3,46.48733333,Yes
81,OnePlus 9,Android,565,10.6,2475,99,1603,51,Female,5,63.09166667,Yes
82,iPhone 12,iOS,172,2.8,1035,22,549,41,Male,2,39.50166667,No
83,Xiaomi Mi 11,Android,330,7.2,2363,77,1133,21,Female,4,52.263,Yes
84,Xiaomi Mi 11,Android,39,1.8,368,11,105,19,Male,1,34.618,No
85,Google Pixel 5,Android,223,4.5,1311,56,695,33,Female,3,44.02766667,Yes
86,Google Pixel 5,Android,404,7.4,2081,63,1352,44,Male,4,53.61433333,Yes
87,Samsung Galaxy S21,Android,151,2.4,1003,25,392,39,Male,2,38.31966667,No
88,Samsung Galaxy S21,Android,34,1.5,345,11,276,44,Male,1,33.91166667,No
89,Xiaomi Mi 11,Android,137,3.3,839,31,348,34,Female,2,39.72233333,No
90,Samsung Galaxy S21,Android,301,6.2,2053,75,1303,45,Male,4,49.46966667,Yes
91,Google Pixel 5,Android,116,2.1,912,39,307,40,Female,2,37.04533333,No
92,Google Pixel 5,Android,291,4.1,1474,46,827,32,Female,3,44.524,Yes
93,iPhone 12,iOS,84,1.4,501,16,284,56,Female,1,34.701,No
94,iPhone 12,iOS,134,2.5,1125,24,367,35,Male,2,38.35833333,No
95,Samsung Galaxy S21,Android,411,7.5,2169,72,1083,58,Male,4,54.019,Yes
96,Xiaomi Mi 11,Android,326,7.2,2243,73,1454,50,Male,4,52.07633333,Yes
97,iPhone 12,iOS,550,9.5,2916,91,1946,20,Male,5,61.08266667,Yes
98,OnePlus 9,Android,516,12,2406,82,1968,28,Female,5,65.006,Yes
99,Google Pixel 5,Android,59,1.2,361,18,293,25,Female,1,33.74433333,No
100,OnePlus 9,Android,225,5.5,1526,44,875,50,Female,3,46.276,Yes
101,Google Pixel 5,Android,41,1.1,389,15,136,53,Male,1,33.27233333,No
102,OnePlus 9,Android,183,4.1,1210,45,738,19,Male,3,42.46,Yes
103,Google Pixel 5,Android,174,2.5,929,37,565,32,Female,2,38.829,No
104,Xiaomi Mi 11,Android,274,4.2,1781,52,934,28,Male,3,44.74766667,Yes
105,Xiaomi Mi 11,Android,166,2.8,1113,28,360,25,Male,2,39.47966667,No
106,Xiaomi Mi 11,Android,66,1.2,585,12,264,36,Male,1,34.085,No
107,Google Pixel 5,Android,152,2.7,642,38,596,55,Male,2,38.57533333,No
108,Google Pixel 5,Android,54,1.4,403,17,278,23,Female,1,34.103,No
109,Xiaomi Mi 11,Android,187,5.5,1754,55,711,50,Female,3,45.87066667,Yes
110,OnePlus 9,Android,216,6,1641,41,889,39,Female,3,47.241,Yes
111,OnePlus 9,Android,95,3.8,718,26,459,41,Female,2,39.90133333,No
112,Xiaomi Mi 11,Android,488,8.6,2447,84,2344,19,Male,5,57.78033333,Yes
113,Google Pixel 5,Android,295,5.1,1483,45,748,27,Female,3,46.59966667,Yes
114,Samsung Galaxy S21,Android,136,3.2,818,33,404,42,Male,2,39.48466667,No
115,Xiaomi Mi 11,Android,471,7.9,2156,76,1324,54,Female,4,55.806,Yes
116,iPhone 12,iOS,121,3.2,651,34,596,39,Male,2,39.06766667,No
117,iPhone 12,iOS,75,1.2,409,13,281,18,Male,1,34.059,No
118,iPhone 12,iOS,220,5.2,1631,49,909,27,Female,3,45.69766667,Yes
119,Samsung Galaxy S21,Android,82,1.6,590,13,124,28,Female,1,35.15666667,No
120,Google Pixel 5,Android,97,2.7,1018,37,428,41,Male,2,38.03466667,No
121,Samsung Galaxy S21,Android,388,6.6,2085,71,1150,45,Female,4,51.75166667,Yes
122,OnePlus 9,Android,529,8.7,2484,89,2189,39,Female,5,58.70066667,Yes
123,Google Pixel 5,Android,584,10,2541,99,2391,49,Female,5,62.27433333,Yes
124,Google Pixel 5,Android,529,8.1,2686,96,1924,35,Male,5,57.70266667,Yes
125,Google Pixel 5,Android,227,5.1,1702,57,714,21,Male,3,45.68533333,Yes
126,Samsung Galaxy S21,Android,535,11.8,2858,99,2378,50,Male,5,65.37466667,Yes
127,iPhone 12,iOS,332,7.4,2149,68,1321,20,Female,4,52.48233333,Yes
128,Google Pixel 5,Android,252,4.2,1439,45,667,50,Female,3,44.039,Yes
129,Xiaomi Mi 11,Android,125,2.5,678,34,465,31,Male,2,37.76133333,No
130,Xiaomi Mi 11,Android,97,3.3,751,39,412,36,Female,2,38.96766667,No
131,Google Pixel 5,Android,540,10.8,2923,90,1886,40,Male,5,63.523,Yes
132,Xiaomi Mi 11,Android,320,7.2,2056,69,1226,52,Female,4,51.78933333,Yes
133,Google Pixel 5,Android,176,3.6,1193,30,458,40,Female,2,41.32633333,Yes
134,Samsung Galaxy S21,Android,79,1,313,18,139,42,Male,1,33.62966667,No
135,Xiaomi Mi 11,Android,83,1.6,303,19,285,51,Male,1,34.88633333,No
136,iPhone 12,iOS,555,11.3,2528,90,1856,55,Female,5,64.378,Yes
137,Samsung Galaxy S21,Android,66,1.7,375,16,216,39,Male,1,34.875,No
138,Xiaomi Mi 11,Android,237,4.5,1368,42,868,24,Female,3,44.318,Yes
139,Samsung Galaxy S21,Android,497,9.7,2876,94,2076,18,Male,5,60.55933333,Yes
140,Google Pixel 5,Android,516,11.1,2429,91,1796,53,Male,5,63.229,Yes
141,Xiaomi Mi 11,Android,219,5.2,1510,42,655,50,Female,3,45.56,Yes
142,Google Pixel 5,Android,448,6.3,2044,71,1337,51,Male,4,52.11066667,Yes
143,iPhone 12,iOS,156,2.2,896,37,429,57,Female,2,37.896,No
144,Samsung Galaxy S21,Android,68,1.1,528,12,201,29,Male,1,33.86133333,No
145,iPhone 12,iOS,524,11.2,2417,90,2069,29,Female,5,63.55033333,Yes
146,iPhone 12,iOS,188,5.3,1281,45,974,35,Male,3,45.01433333,Yes
147,Samsung Galaxy S21,Android,443,7.4,2289,73,1026,33,Male,4,54.47233333,Yes
148,Xiaomi Mi 11,Android,52,1.6,385,19,234,24,Male,1,34.45166667,No
149,OnePlus 9,Android,228,4.2,1677,58,823,56,Male,3,43.877,Yes
150,Google Pixel 5,Android,149,3.7,873,34,459,51,Male,2,40.75633333,Yes
151,iPhone 12,iOS,523,9.4,2583,92,1539,21,Male,5,60.09966667,Yes
152,Samsung Galaxy S21,Android,42,1.6,315,19,207,52,Female,1,34.215,No
153,Google Pixel 5,Android,120,2,741,38,396,56,Female,2,36.741,No
154,OnePlus 9,Android,329,7.5,2277,72,1185,27,Female,4,52.76033333,Yes
155,Xiaomi Mi 11,Android,68,1.5,364,10,102,31,Female,1,34.49733333,No
156,Xiaomi Mi 11,Android,158,3.4,893,36,493,32,Male,2,40.32633333,Yes
157,Xiaomi Mi 11,Android,86,1.7,439,19,136,54,Male,1,35.27233333,No
158,Xiaomi Mi 11,Android,339,7.8,2102,71,1062,51,Male,4,53.352,Yes
159,Samsung Galaxy S21,Android,304,6.5,2375,79,1493,51,Male,4,50.44166667,Yes
160,Xiaomi Mi 11,Android,131,2.4,859,26,305,40,Male,2,37.84233333,No
161,Samsung Galaxy S21,Android,64,1.6,540,19,262,35,Female,1,34.80666667,No
162,Xiaomi Mi 11,Android,53,1.9,526,15,112,42,Male,1,35.20933333,No
163,Google Pixel 5,Android,442,7.7,2067,69,1440,45,Male,4,54.83366667,Yes
164,iPhone 12,iOS,32,2,469,18,139,22,Male,1,35.00233333,No
165,Xiaomi Mi 11,Android,278,4.8,1238,48,851,43,Female,3,45.47133333,Yes
166,Xiaomi Mi 11,Android,540,8.4,2993,98,1540,49,Female,5,58.793,Yes
167,Google Pixel 5,Android,595,11.3,2968,88,2366,30,Male,5,65.48466667,Yes
168,Google Pixel 5,Android,35,1.5,467,10,158,58,Male,1,34.05033333,No
169,Google Pixel 5,Android,225,5.4,1370,44,791,55,Female,3,45.92,Yes
170,Google Pixel 5,Android,587,11.8,2431,90,1894,47,Male,5,65.81433333,Yes
171,Xiaomi Mi 11,Android,92,3.7,1124,27,524,44,Male,2,40.05733333,Yes
172,Google Pixel 5,Android,46,1.1,487,17,208,23,Male,1,33.45366667,No
173,OnePlus 9,Android,153,2.8,935,25,578,37,Female,2,39.085,No
174,iPhone 12,iOS,368,6.6,1817,72,1406,27,Female,4,51.15033333,Yes
175,Xiaomi Mi 11,Android,51,1.6,509,11,113,29,Female,1,34.559,No
176,Google Pixel 5,Android,279,5.2,1660,47,629,50,Female,3,46.71,Yes
177,Xiaomi Mi 11,Android,255,5.4,1738,42,826,21,Male,3,46.788,Yes
178,Samsung Galaxy S21,Android,193,5.7,1471,51,972,31,Female,3,46.08766667,Yes
179,Xiaomi Mi 11,Android,207,5.7,1582,52,692,38,Male,3,46.432,Yes
180,iPhone 12,iOS,539,11.9,2853,83,2007,55,Male,5,65.63633333,Yes
181,OnePlus 9,Android,151,2.4,1124,38,571,33,Male,2,38.44066667,No
182,Google Pixel 5,Android,474,6.4,2109,68,1079,24,Male,4,52.809,Yes
183,iPhone 12,iOS,544,9.2,2936,83,2416,47,Female,5,60.40266667,Yes
184,iPhone 12,iOS,73,1.2,308,15,275,39,Female,1,33.92466667,No
185,Xiaomi Mi 11,Android,597,10.4,2984,91,1564,34,Female,5,63.734,Yes
186,Google Pixel 5,Android,498,10.7,2738,94,1995,42,Male,5,62.438,Yes
187,iPhone 12,iOS,402,7.8,2014,79,1088,34,Female,4,54.314,Yes
188,OnePlus 9,Android,75,1.1,379,15,185,37,Male,1,33.829,No
189,iPhone 12,iOS,130,2,602,21,589,30,Female,2,36.76866667,No
190,Samsung Galaxy S21,Android,42,1.1,402,11,265,32,Female,1,33.302,No
191,iPhone 12,iOS,134,2.2,917,23,423,23,Male,2,37.55033333,No
192,Google Pixel 5,Android,79,1.9,477,13,161,24,Male,1,35.59366667,No
193,iPhone 12,iOS,432,7.2,1822,63,1127,59,Female,4,53.422,Yes
194,iPhone 12,iOS,262,4.1,1287,52,997,36,Male,3,43.85366667,Yes
195,Samsung Galaxy S21,Android,473,6.4,2109,79,1300,23,Female,4,52.79233333,Yes
196,Google Pixel 5,Android,202,4.7,1512,49,659,45,Female,3,44.27866667,Yes
197,OnePlus 9,Android,215,4.4,1407,41,991,47,Male,3,43.79033333,Yes
198,OnePlus 9,Android,151,3.7,1116,32,320,41,Female,2,41.03266667,Yes
199,OnePlus 9,Android,80,1.6,549,14,197,19,Male,1,35.08233333,No
200,Xiaomi Mi 11,Android,126,2.8,971,32,431,35,Female,2,38.671,No
201,Samsung Galaxy S21,Android,495,8.9,2920,84,2252,31,Female,5,58.97,Yes
202,iPhone 12,iOS,127,3.7,1153,35,314,37,Female,2,40.66966667,Yes
203,Xiaomi Mi 11,Android,88,1.3,327,11,262,22,Male,1,34.39366667,No
204,Google Pixel 5,Android,69,1.6,463,16,146,27,Male,1,34.813,No
205,OnePlus 9,Android,100,3.3,961,21,433,25,Male,2,39.22766667,No
206,Xiaomi Mi 11,Android,301,6.5,2084,71,1421,29,Male,4,50.10066667,Yes
207,Google Pixel 5,Android,78,1.7,455,15,207,37,Female,1,35.155,No
208,Google Pixel 5,Android,163,3.1,620,21,419,23,Male,2,39.53666667,No
209,OnePlus 9,Android,539,9.3,2606,92,1990,41,Male,5,60.18933333,Yes
210,Google Pixel 5,Android,278,4.6,1385,47,823,40,Female,3,45.21833333,Yes
211,Samsung Galaxy S21,Android,451,6.1,2108,76,1434,25,Female,4,51.82466667,Yes
212,Samsung Galaxy S21,Android,481,10.9,2752,86,2017,18,Male,5,62.56866667,Yes
213,Samsung Galaxy S21,Android,133,3.4,714,38,445,25,Male,2,39.73066667,No
214,Xiaomi Mi 11,Android,41,1.1,588,10,246,22,Male,1,33.47133333,No
215,iPhone 12,iOS,152,3.3,1175,29,461,42,Female,2,40.30833333,Yes
216,OnePlus 9,Android,553,8.4,2559,89,2471,51,Male,5,58.57566667,Yes
217,iPhone 12,iOS,402,6.9,2282,78,1397,40,Male,4,52.782,Yes
218,OnePlus 9,Android,555,9.5,2855,95,1565,24,Male,5,61.105,Yes
219,iPhone 12,iOS,499,9.6,2873,81,1805,52,Female,5,60.38966667,Yes
220,Xiaomi Mi 11,Android,101,3.2,603,28,417,43,Male,2,38.68633333,No
221,OnePlus 9,Android,433,6.8,2093,75,1300,32,Male,4,52.90966667,Yes
222,OnePlus 9,Android,133,2,1007,31,417,32,Male,2,37.22366667,No
223,Xiaomi Mi 11,Android,351,6.1,1941,79,1290,21,Female,4,49.991,Yes
224,Samsung Galaxy S21,Android,532,10.7,2556,83,2148,53,Female,5,62.82266667,Yes
225,OnePlus 9,Android,92,2.5,690,31,563,27,Male,2,37.22333333,No
226,Xiaomi Mi 11,Android,511,10.8,2712,97,2438,59,Female,5,62.82866667,Yes
227,Xiaomi Mi 11,Android,384,7,2185,72,1376,59,Male,4,52.585,Yes
228,iPhone 12,iOS,193,5.2,1318,49,626,32,Female,3,44.93466667,Yes
229,Samsung Galaxy S21,Android,132,3.8,649,25,368,41,Male,2,40.449,Yes
230,Samsung Galaxy S21,Android,360,7.3,1946,79,1164,50,Male,4,52.546,Yes
231,iPhone 12,iOS,159,2.3,1083,32,526,38,Male,2,38.333,No
232,iPhone 12,iOS,495,8.9,2855,91,2150,31,Male,5,58.905,Yes
233,Xiaomi Mi 11,Android,537,10,2720,83,1763,35,Male,5,61.67,Yes
234,OnePlus 9,Android,129,3.4,1059,27,580,36,Female,2,40.009,Yes
235,iPhone 12,iOS,132,3.8,636,28,529,53,Male,2,40.436,Yes
236,Xiaomi Mi 11,Android,37,1.4,369,18,295,19,Female,1,33.78566667,No
237,Samsung Galaxy S21,Android,524,8.9,2549,88,1730,20,Female,5,59.08233333,Yes
238,OnePlus 9,Android,425,6.9,2142,66,1130,19,Female,4,53.02533333,Yes
239,OnePlus 9,Android,64,1.7,585,13,107,53,Male,1,35.05166667,No
240,iPhone 12,iOS,573,10.8,2711,96,2118,33,Female,5,63.861,Yes
241,Google Pixel 5,Android,45,1.7,302,16,191,57,Female,1,34.452,No
242,Xiaomi Mi 11,Android,564,11.7,2764,81,2133,37,Female,5,65.564,Yes
243,OnePlus 9,Android,162,3.5,761,36,338,51,Male,2,40.461,Yes
244,Samsung Galaxy S21,Android,451,6.5,2378,69,1341,44,Male,4,52.89466667,Yes
245,OnePlus 9,Android,30,1.3,479,16,253,35,Male,1,33.579,No
246,Samsung Galaxy S21,Android,202,5,1542,45,844,29,Male,3,44.90866667,Yes
247,Google Pixel 5,Android,71,1.5,590,17,257,33,Male,1,34.77333333,No
248,Google Pixel 5,Android,314,6.2,2205,63,1066,19,Male,4,49.83833333,Yes
249,Xiaomi Mi 11,Android,168,4,866,22,581,50,Female,2,41.666,Yes
250,Google Pixel 5,Android,75,1.9,537,13,230,58,Female,1,35.587,No
251,OnePlus 9,Android,42,1.4,324,13,272,29,Female,1,33.824,No
252,OnePlus 9,Android,441,7.9,2332,78,1477,23,Female,4,55.482,Yes
253,Google Pixel 5,Android,523,10.5,2460,99,1787,22,Male,5,62.17666667,Yes
254,Xiaomi Mi 11,Android,100,2.4,982,31,478,48,Female,2,37.44866667,No
255,OnePlus 9,Android,52,1.2,398,14,172,24,Female,1,33.66466667,No
256,OnePlus 9,Android,397,7,2352,77,1101,46,Female,4,52.96866667,Yes
257,Xiaomi Mi 11,Android,424,7.7,1863,65,1116,52,Male,4,54.32966667,Yes
258,Xiaomi Mi 11,Android,272,5,1655,45,686,19,Female,3,46.18833333,Yes
259,Xiaomi Mi 11,Android,201,4,1791,50,914,18,Male,3,43.141,Yes
260,Xiaomi Mi 11,Android,570,9,2613,98,2497,49,Female,5,60.113,Yes
261,Xiaomi Mi 11,Android,64,1.3,490,14,151,43,Female,1,34.15666667,No
262,iPhone 12,iOS,334,6.6,2394,68,1227,46,Female,4,51.16066667,Yes
263,iPhone 12,iOS,518,9.6,2954,93,2125,34,Female,5,60.78733333,Yes
264,Samsung Galaxy S21,Android,70,1.7,359,10,109,57,Male,1,34.92566667,No
265,iPhone 12,iOS,334,6.8,2000,77,1079,40,Female,4,51.16666667,Yes
266,Xiaomi Mi 11,Android,563,8.4,2849,85,1508,25,Male,5,59.03233333,Yes
267,iPhone 12,iOS,181,4.1,1608,43,752,22,Female,3,42.82466667,Yes
268,OnePlus 9,Android,584,9.4,2766,84,2151,32,Male,5,61.29933333,Yes
269,Samsung Galaxy S21,Android,208,4.7,1642,45,861,55,Male,3,44.50866667,Yes
270,Samsung Galaxy S21,Android,381,6.6,2160,69,1450,20,Male,4,51.71,Yes
271,Xiaomi Mi 11,Android,426,6.5,1969,78,1266,53,Female,4,52.069,Yes
272,OnePlus 9,Android,284,4.2,1360,56,888,51,Male,3,44.49333333,Yes
273,Google Pixel 5,Android,105,2.2,1002,29,453,31,Female,2,37.152,No
274,Google Pixel 5,Android,179,2.3,1014,32,588,38,Male,2,38.59733333,No
275,iPhone 12,iOS,122,2.6,639,37,568,35,Male,2,37.87233333,No
276,OnePlus 9,Android,501,11.9,2702,88,1738,49,Male,5,64.852,Yes
277,Xiaomi Mi 11,Android,269,5.9,1666,42,629,32,Female,3,47.94933333,Yes
278,Google Pixel 5,Android,230,4.4,1607,52,878,54,Male,3,44.24033333,Yes
279,Xiaomi Mi 11,Android,85,1.6,417,12,122,47,Male,1,35.03366667,No
280,Samsung Galaxy S21,Android,411,7.8,2029,75,1136,33,Female,4,54.479,Yes
281,Samsung Galaxy S21,Android,73,1.7,403,12,163,51,Male,1,35.01966667,No
282,Xiaomi Mi 11,Android,39,1.7,530,11,268,26,Female,1,34.58,No
283,iPhone 12,iOS,386,7.7,2114,72,1209,51,Male,4,53.94733333,Yes
284,Google Pixel 5,Android,49,1.3,542,16,169,54,Female,1,33.95866667,No
285,Google Pixel 5,Android,411,6.9,1820,70,1024,43,Male,4,52.47,Yes
286,OnePlus 9,Android,534,10.8,2805,90,1538,37,Male,5,63.305,Yes
287,Samsung Galaxy S21,Android,314,7.4,2136,64,1376,47,Female,4,52.16933333,Yes
288,Xiaomi Mi 11,Android,211,4,1519,54,811,29,Female,3,43.03566667,Yes
289,OnePlus 9,Android,121,3.7,619,36,473,47,Male,2,40.03566667,Yes
290,Google Pixel 5,Android,84,1.2,415,10,146,50,Male,1,34.215,No
291,OnePlus 9,Android,448,7.6,2199,66,1047,28,Male,4,54.86566667,Yes
292,Google Pixel 5,Android,55,1.6,360,19,149,30,Male,1,34.47666667,No
293,Google Pixel 5,Android,59,1.8,497,10,208,36,Female,1,35.08033333,No
294,Xiaomi Mi 11,Android,226,4.5,1781,45,649,27,Female,3,44.54766667,Yes
295,Samsung Galaxy S21,Android,580,8.5,2660,87,1795,52,Male,5,59.32666667,Yes
296,OnePlus 9,Android,65,1.8,481,18,130,41,Male,1,35.16433333,No
297,OnePlus 9,Android,458,6.6,2214,67,1163,31,Female,4,53.04733333,Yes
298,iPhone 12,iOS,170,2.7,805,26,344,53,Female,2,39.03833333,No
299,iPhone 12,iOS,264,5.2,1641,44,778,44,Male,3,46.441,Yes
300,Xiaomi Mi 11,Android,122,3.3,748,35,499,59,Female,2,39.38133333,No
301,Xiaomi Mi 11,Android,420,6.5,2113,65,1314,35,Male,4,52.113,Yes
302,iPhone 12,iOS,267,4.4,1505,59,971,38,Female,3,44.755,Yes
303,iPhone 12,iOS,469,6,2290,67,1086,34,Female,4,52.10666667,Yes
304,iPhone 12,iOS,541,11.4,2443,89,1923,34,Female,5,64.25966667,Yes
305,iPhone 12,iOS,155,2.9,1117,22,322,19,Female,2,39.50033333,No
306,OnePlus 9,Android,106,2.8,686,32,594,27,Male,2,38.05266667,No
307,OnePlus 9,Android,243,5,1232,47,877,43,Male,3,45.282,Yes
308,OnePlus 9,Android,410,7.5,2176,68,1213,45,Female,4,54.00933333,Yes
309,iPhone 12,iOS,285,5.1,1226,57,666,20,Female,3,46.176,Yes
310,OnePlus 9,Android,397,6.8,2027,66,1167,40,Male,4,52.24366667,Yes
311,Samsung Galaxy S21,Android,230,4.2,1507,51,868,25,Female,3,43.74033333,Yes
312,iPhone 12,iOS,341,7.2,2397,68,1055,32,Female,4,52.48033333,Yes
313,Google Pixel 5,Android,132,2.9,1054,32,563,20,Male,2,39.054,No
314,Xiaomi Mi 11,Android,130,3,820,21,308,49,Female,2,38.98666667,No
315,iPhone 12,iOS,281,4.9,1566,59,632,29,Male,3,46.04933333,Yes
316,OnePlus 9,Android,74,2,320,11,103,55,Female,1,35.55333333,No
317,OnePlus 9,Android,299,4.3,1737,43,953,42,Female,3,45.32033333,Yes
318,Google Pixel 5,Android,116,2.2,827,29,434,28,Female,2,37.16033333,No
